id,speakers,isoda,tokens,tags
413,GF,Anruf akzeptieren,Gruppenführer hört,5
414,ZF,Rufen,Frage Lautstärke Verständigung kommen,3
415,GF,Auto-postiv,Ja Lautstärke und Verständigung gut kommen,7
416,ZF,Auto-postiv,Ja das ist so verstanden ende,2
417,GF,Task akzeptieren,Ja ende,2
418,ZF,Rufen,Das WHS von Zugführer kommen,4
419,ZF,Rufen,D2 von Zugführer kommen,4
420,D2,Anruf akzeptieren,D2 hier kommen,5
421,ZF,Frage,Frage Lautstärke und Verständigung kommen,3
422,D2,Anfordern,Nochmal bitte kommen,1
423,ZF,Frage,Frage Lautstärke und Verständigung kommen,3
424,D2,Informieren,Lautstärke und Verständigung sind super kommen,7
425,ZF,Auto-postiv,Das ist verstanden ende,2
426,ZF,Rufen,WHS von Zugführer kommen,4
427,WHS,Anruf akzeptieren,Ja ich höre kommen,5
428,ZF,Rufen,Bei dir auch Frage Lautstärke und Verständigung kommen,3
429,WHS,Informieren,Lautstärke und Verständigung ende,7
430,ZF,Rufen,D1 von Zugführer kommen,4
431,ZF,Rufen,D1 von Zugführer kommen,4
432,D1,Anruf akzeptieren,D1 hier,5
433,ZF,Auto-postiv,Ja auch für euch Frage Lautstärke und Verständigung kommen,3
434,D1,Anruf akzeptieren,Lautstärke OK,7
435,ZF,Auto-postiv,Das ist so verstanden,2
436,ZF,Situationsfrage,Frage seid ihr einsatzbereit kommen,3
437,D1,Informieren,Sind einsatzbereit kommen,7
438,ZF,Auto-postiv,Ja das ist verstanden ende,2
439,ZF,Rufen,Gruppenführer von Zugführer kommen,4
440,GF,Anruf akzeptieren,Gruppenführer hört,5
441,ZF,Task akzeptieren,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,1
442,GF,Anfordern,Einmal die Kommunikation der Robotertrupps checken und die Einsatzbereitschaft herstellen,7
443,ZF,Bestätigen,Das ist so korrekt Ende,2
444,GF,Auto-postiv,Ja verstanden ende,2
445,ZF,Rufen,D2 von Zugführer kommen,4
446,D2,Anruf akzeptieren,D2 hier kommen,5
447,ZF,Frage,Frage seit ihr einsatzbereit kommen,3
448,D2,Informieren,Wir haben gerade kein <unverständlich> und wir müssen noch ins Auto fahren.,0
449,D2,Anfordern,Also circa 5 Minuten kommen,2
450,ZF,Auto-postiv,Das ist soweit verstanden,2
451,ZF,Anfordern,dann bitte selbständig anfunken kommen,1
452,D2,Auto-postiv,Verstanden ende,7
453,ZF,Rufen,WHS von Zugführer kommen,4
454,WHS,Anruf akzeptieren,WHS hier kommen,5
455,ZF,Frage,Frage sind sie einsatzbereit kommen,3
456,WHS,Sonstiges,Nur eine Sekunde ende,2
457,ZF,Rufen,Gruppenführer von Zugführer kommen,4
458,GF,Anruf akzeptieren,Gruppenführer hört,5
459,ZF,Informieren,Ja für sie zur Information der D1 ist startklar der D2 brauch noch circa 5 Minuten bis zur Einsatzbereitschaft kommen,2
460,GF,Auto-postiv,Ja verstanden ende,2
461,WHS,Rufen,Zugführer von WHS,4
462,ZF,Rufen,Hier Zugführer kommen,5
463,WHS,Anruf akzeptieren,Wir wären bereit ende,2
464,ZF,Auto-postiv,Das ist verstanden ende,2
465,GF,Rufen,Zugführer von Gruppenführer kommen,4
466,ZF,Rufen,Ja hier Zugführer kommen,5
467,GF,Informieren,Der D3 und D5 einsatzbereit kommen,2
468,ZF,Auto-postiv,D3 und D5 ist einsatzbereit das ist verstanden,2
469,D2,Rufen,Zugführer von D2 kommen,4
470,ZF,Rufen,Ja hier Zugführer kommen,7
471,ZF,Rufen,D2 von Zugführer kommen,4
472,D2,Anruf akzeptieren,D2 hier kommen,5
473,ZF,Auto-postiv,Ja sie wollten etwas sagen kommen,3
474,D2,Informieren,D2 ist einsatzbereit kommen,2
475,ZF,Auto-postiv,D2 ist einsatzbereit das ist verstanden,2
476,ZF,Anfordern,Bitte auf Übungsbeginn warten kommen,1
477,D2,Auto-postiv,Verstanden ende,7
478,ZF,Rufen,An alle einsatzkräfte Übungsbeginn kommen,2
479,WHS,Auto-postiv,WHS hier verstanden,2
480,ZF,Rufen,Gruppenführer von Zugführer kommen,4
481,GF,Anruf akzeptieren,Gruppenführer hört,5
482,ZF,Informieren,Einsatzszenario ist jetzt beginnend,2
483,GF,Informieren,Einsatzszenario beginnt Verstanden,2
484,ZF,Auto-postiv,Verstanden ende,2
485,ZF,Rufen,Gruppenführer von Zugführer kommen,4
486,GF,Anruf akzeptieren,Gruppenführer hört,5
487,ZF,Anfordern,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,1
488,GF,Auto-postiv,Ja verstanden,7
489,ZF,Rufen,D1 von Zugführer kommen,4
490,D1,Anruf akzeptieren,D1 hört kommen,5
491,ZF,Informieren,Die Einsatzstelle wurde begangen. Wir haben einen Gefahrstoffunfall in einem Lager.,2
492,ZF,Anfordern,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,1
493,ZF,Rufen,Gruppenführer von Zugführer kommen,4
494,GF,Anruf akzeptieren,Gruppenführer hört,5
495,ZF,Informieren,der erste erkundungsflug ist jetzt mit der ersten Drohne gestartet worden kommen,2
496,GF,Auto-postiv,Ja erster erkundungsflug mit der Drohne gestartet verstanden kommen,2
497,ZF,Rufen,WHS von Zugführer kommen,4
498,WHS,Anruf akzeptieren,Hier WHS kommen,5
499,WHS,Anruf akzeptieren,WHS hört kommen,5
500,ZF,Rufen,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor,2
501,ZF,Rufen,Für sie Auftrag Erkundung innen der Halle kommen,1
502,WHS,Auto-postiv,WHS hat verstanden kommen Erkundung innen verstanden <eh> kommen,7
503,ZF,Auto-postiv,Ja das ist verstanden ende,2
504,ZF,Rufen,Gruppenführer von Zugführer kommen,4
505,GF,Anruf akzeptieren,Gruppenführer hört,5
506,ZF,Rufen,Für sie zur Information der D1 ist zur Erkundung des Außenbereiches vor die WHS Drohne ist zur Innenerkundung vor kommen,2
507,GF,Auto-postiv,Ja das ist verstanden ende,2
508,ZF,Anfordern,Für sie bitte die Inbetriebnahme der Roboter D3 und D5 kommen,1
509,GF,Auto-postiv,Inbetriebnahme D3 und D5 verstanden,7
510,ZF,Informieren,Das ist so korrekt sie warten bitte noch auf weitere Einsatzbefehle kommen,1
511,GF,Auto-postiv,Wir warten in Bereitschaft verstanden,7
512,ZF,Rufen,D1 von Zugführer kommen,4
513,D1,Anruf akzeptieren,D1 hört,5
514,ZF,Frage,Frage hat der Erkundungsauftrag Lagerhalle außen schon Erkenntnisse hervorgebracht kommen,3
515,D1,Informieren,Bisher nichts zu sehen,0
516,ZF,Informieren,Von außen keine Erkenntnise ist das korrekt kommen,3
517,ZF,Rufen,WHS von Zugführer kommen,4
518,WHS,Anruf akzeptieren,WHS hört,5
519,ZF,Informieren,Frage ich kann das bild ihrer Drohne auf dem Bildschirm sehen,2
520,ZF,Anfordern,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,1
521,WHS,Auto-postiv,WHS hat verstanden kommen,7
522,ZF,Rufen,WHS von Zugführer kommen,4
523,WHS,Anruf akzeptieren,WHS hört,5
524,ZF,Informieren,ein stückchen näher ran,1
525,WHS,Auto-postiv,Ja habe verstanden ende,7
526,ZF,Bestätigen,Ja perfekt so ist es zu erkennen,2
527,ZF,Informieren,die nummer wird jetzt in die Datenbank eingegeben,2
528,ZF,Rufen,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,1
529,WHS,Auto-postiv,WHS hat verstanden ende,7
530,ZF,Rufen,Gruppenführer von Zugführer kommen,4
531,GF,Anruf akzeptieren,Gruppenführer hört,5
532,ZF,Informieren,Ja Erkundungsergebnisse von dem Innenflug haben ergeben es handelt sich nach HON nummer um Schwefelsäure,2
533,ZF,Informieren,keine Einsatzkraft betritt den Gefahrenbereich kommen,2
534,GF,Auto-postiv,Erkundung ergeben Stoffidentifikation Schwefelsäure keine Einsatzkraft betritt den Gefahrenbereich verstanden,2
535,ZF,Informieren,Es handelt sich um einen umgekippten 20Liter Kanister der vom Regal runtegefallen ist und sich geöffnet handelt,2
536,ZF,Informieren,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,1
537,ZF,Auto-postiv,Falsch den hast du ja gar nicht,6
538,ZF,Rufen,D2 von Zugführer kommen,4
539,D2,Anruf akzeptieren,D2 hört kommen,5
540,GF,Informieren,Die manipulation wird vom Trupp D2 vorgenommen wir warten weiter ab,2
541,ZF,Rufen,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure,2
542,ZF,Anfordern,für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,1
543,D2,Informieren,Verstanden Auftrag wird ausgeführt ende,7
544,ZF,Rufen,Gruppenführer von Zugführer kommen,4
545,ZF,Rufen,D2 von Zugführer kommen,4
546,D2,Anruf akzeptieren,D2 hört kommen,5
547,ZF,Situationsfrage,Frage an sie sie hatten auch das aufnahmebild vom inneren der Lagerhalle gesehen kommen,3
548,D2,Auto-postiv,Ja,7
549,ZF,Rufen,D1 von Zugführer kommen,4
550,D1,Anruf akzeptieren,D1 hier kommen,5
551,ZF,Informieren,Für sie Paralleleinsatz der D2 geht zur Manipulation in die Lagerhalle vor,2
552,ZF,Rufen,für sie Bereitstellung eines Luftbildes aus der Halle kommen,1
553,D1,Auto-postiv,Verstanden ende,7
554,ZF,Rufen,Gruppenführer von Zugführer kommen,4
555,GF,Anruf akzeptieren,Sie haben sprechwunsch,5
556,ZF,Bestätigen,Das ist so korrekt,2
557,ZF,Informieren,der befindet sich gerade in der Anfahrt zum Gefahrgutobjekt,2
558,ZF,Rufen,für sie logistische Unterstützung durch den D3 mit dem Überfass kommen,1
559,GF,Auto-postiv,D2 auf der Anfahrt zur Manipulation D3 zur Unterstützung vor das ist verstanden kommen,7
560,ZF,Bestätigen,Ja das ist so korrekt ende,2
561,ZF,Rufen,D2 von Zugführer kommen,4
562,D2,Frage,Was soll mit dem Kanister geschehen kommen,3
563,ZF,Informieren,Ja das ist so korrekt warten sie noch auf den D3 der wird ihnen als Logistikaufgabe das Überfass bereitstellen kommen,2
564,ZF,Rufen,D2 von Zugführer kommen,4
565,D2,Anruf akzeptieren,D2 hört kommen,5
566,ZF,Auto-postiv,Ja für sie zur Information bitte warten bis der D3 als Logistikunterstützung kommt,1
567,ZF,Situationsfrage,er wird ihnen das Überfass zum sichern des Behältnisses bereitstellen kommen,2
568,D2,Anruf akzeptieren,Verstanden wir warten kommen,7
569,ZF,Auto-postiv,Ja das ist soweit verstanden,2
570,ZF,Rufen,Gruppenführer von Zugführer kommen,4
571,GF,Anruf akzeptieren,Gruppenführer hört,5
572,ZF,Auto-postiv,Frage status D3 kommen,3
573,GF,Informieren,Der D3 ist einsatzbereit und wartet auf einen Befehl,2
574,ZF,Informieren,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,1
575,GF,Informieren,D3 fährt zum D2 vor und Vorbereitung des Überfasses kommen,7
576,ZF,Auto-postiv,Ja so korrekt ende,2
577,GF,Rufen,Zugführer von Gruppenführer kommen,4
578,ZF,Rufen,Hier Zugführer kommen,5
579,GF,Informieren,Die Standorte der Roboter sind im Lagebild nicht zu erkennen kommen,2
580,ZF,Auto-postiv,Ja das ist verstanden,2
581,ZF,Situationsfrage,gebe das an den Techniker hier weiter kommen,2
582,GF,Auto-postiv,Ja verstanden ende,2
583,ZF,Rufen,D2 von Zugführer kommen,4
584,D2,Anruf akzeptieren,D2 hört kommen,5
585,ZF,Informieren,D3 mit Überfass ist am Standort angekommen,2
586,ZF,Rufen,für sie Beginn des Auftrages Bergung des Behältnisses kommen,1
587,D2,Informieren,Auftrag wird ausgeführt kommen,7
588,ZF,Bestätigen,Ja das ist so korrekt ende,2
589,D1,Rufen,Zugführer D1 bitte kommen,4
590,ZF,Rufen,Hier Zugführer kommen,5
591,D1,Informieren,D1 müsste nachladen bitte kommen,2
592,ZF,Task akzeptieren,Bitte die Aussage wiederholen kommen,1
593,D1,Informieren,D1 müsste neue Batterien bekommen dazu müssen wir landen bitte kommen,2
594,ZF,Rufen,WHS von Zugführer kommen,4
595,WHS,Anruf akzeptieren,Hier WHS kommen,5
596,ZF,Informieren,Der D1 ist jetzt gerade im Akkuwechsel,2
597,ZF,Rufen,für sie Übergangsauftrag Bilddarstellung in der Lagerhalle innen kommen,1
598,WHS,Auto-postiv,Auftrag verstanden ende,7
599,ZF,Rufen,D2 von Zugführer kommen,4
600,D2,Anruf akzeptieren,D2 hört kommen,5
601,ZF,Frage,Frage ist die Position des Überfasses ausreichend kommen,3
602,D2,Informieren,Die Position von D3 ist OK kommen,7
603,ZF,Auto-postiv,Ja das ist verstanden ende,2
604,WHS,Rufen,Zugführer an WHS kommen,4
605,D1,Rufen,Zugführer von D1,4
606,ZF,Rufen,Hier Zugführer kommen,5
607,D1,Informieren,D1 ist wieder bereit bitte kommen,2
608,ZF,Auto-postiv,Ja das ist verstanden,2
609,ZF,Informieren,für sie noch kurze Pause WHS ist gerade im Erkundungsflug kommen,2
610,D1,Auto-postiv,Haben verstanden ende,2
611,ZF,Rufen,Gruppenführer von Zugführer kommen,4
612,GF,Anruf akzeptieren,Gruppenführer hört,5
613,ZF,Frage,Frage Status Lagebildsystem,3
614,GF,Auto-postiv,Ja die Roboter D1 und D2 im Lagebild ersichtlich kommen,2
615,ZF,Auto-postiv,Ja das ist verstanden,2
616,GF,Informieren,D3 und D5 können nicht im Lagebild dargestellt werden,2
617,ZF,Auto-postiv,D3 und D5 können nicht im Lagebild dargestellt werden das ist verstanden,2
618,D2,Rufen,Zugführer von D2 kommen,4
619,ZF,Rufen,Hier Zugführer kommen,5
620,D2,Informieren,D2 hat den Kanister aufgenommen und fährt ihn jetzt zu D3 kommen,2
621,ZF,Auto-postiv,Ja das ist verstanden,2
622,ZF,Anfordern,bitte melden wenn durchgeführt,1
623,ZF,Rufen,WHS von Zugführer kommen,4
624,WHS,Anruf akzeptieren,hier WHS kommen,5
625,ZF,Informieren,Für sie ist der Erkundungsauftrag beendet kommen,2
626,WHS,Auto-postiv,Haben verstanden ende,2
627,ZF,Informieren,D1 mitgehört sie können wieder die Innenerkundung starten kommen,1
628,D1,Auto-postiv,Verstanden ende,7
629,ZF,Rufen,WHS von Zugführer kommen,4
630,WHS,Anruf akzeptieren,Hier WHS kommen,5
631,ZF,Anfordern,Für sie Erkundungsauftrag Panoramabild der gesammten Lagerhalle kommen,1
632,WHS,Informieren,Soll das Panoramabild über der Lagerhalle gemacht werden kommen,3
633,ZF,Bestätigen,Ja das ist so korrekt kommen,7
634,WHS,Auto-postiv,haben verstanden ende,2
635,ZF,Rufen,Gruppenführer von Zugführer kommen,4
636,GF,Anruf akzeptieren,Gruppenführer hört,5
637,ZF,Anfordern,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,1
638,GF,Rufen,Erkundungsauftrag mit dem D5 linke Seite der Lagerhalle kommen,7
639,ZF,Bestätigen,Ja das ist so korrekt,2
640,ZF,Rufen,Gruppenführer von Zugführer kommen,4
641,GF,Anruf akzeptieren,Gruppenführer hört,5
642,ZF,Frage,Wie sieht der Status dafür aus den D3 gleich mit geschlossenem Überfass aus der Lagerhalle zu fahren kommen,3
643,GF,Task akzeptieren,Ja ich melde mich gleich kommen,2
644,ZF,Auto-postiv,Ja das ist verstanden ende,7
645,GF,Rufen,Zugführer von Gruppenführer kommen,4
646,ZF,Rufen,Hier Zugführer kommen,5
647,GF,Anfordern,Zur Information D5 zur Erkundung vor kommen,2
648,ZF,Auto-postiv,D5 zur Erkundung linker Seite das ist verstanden,2
649,WHS,Rufen,Zugführer von WHS kommen,4
650,GF,Task akzeptieren,Ja genau ende,2
651,ZF,Anruf akzeptieren,Hier Zugführer kommen wer hat gerufen kommen,5
652,WHS,Rufen,Zugführer von WHS kommen,4
653,ZF,Rufen,Ja hier Zugführer kommen,5
654,WHS,Informieren,Panoramabild wurde erstellt kommen,2
655,ZF,Auto-postiv,Ja das ist verstanden,2
656,ZF,Situationsfrage,ist das im Lagebildsystem zu erkennen kommen,3
657,WHS,Informieren,Im Lagebildsystem ist nicht kann es nicht erkannt werden kommen,0
658,GF,Rufen,Zugführer von Gruppenführer kommen,4
659,ZF,Rufen,Hier Zugführer kommen,5
660,GF,Informieren,Frage der D3 soll noch nicht zurückgesetzt werden kommen,3
661,ZF,Bestätigen,Ja das ist korrekt,7
662,ZF,Informieren,wir warten noch auf die Verfrachtung des Behälters und danach wird er verschlossen kommen,2
663,GF,Auto-postiv,Ja verstanden ende,2
664,GF,Rufen,D5 von Gruppenführer kommen,4
665,GF,Informieren,falsches Funkgerät,2
666,ZF,Rufen,Gruppenführer von Zugführer kommen,4
667,GF,Anruf akzeptieren,Gruppenführer hört,5
668,D2,Rufen,Zugführer von D2 kommen,4
669,ZF,Informieren,Bitte ich sehe das bild vom D5 im Lagebildsystem bitte einmal die Gasse komplett durch,1
670,D2,Rufen,Zugführer von D2 kommen,4
671,GF,Auto-postiv,Ja verstanden,7
672,ZF,Rufen,Hier Zugführer kommen,5
673,D2,Informieren,D2 hat das Fass in das Überfass abgelegt,2
674,D2,Check Frage,soll das Überfass auch abgedichtet werden kommen,3
675,ZF,Informieren,Behältniss wurde ins Überfass verfrachtet,2
676,ZF,Informieren,positiv  das Fass soll geschlossen werden kommen,7
677,D2,Auto-postiv,Verstanden ende,2
678,ZF,Rufen,D1 von Zugführer kommen,4
679,D1,Anruf akzeptieren,Hier D1 kommen,5
680,ZF,Auto-postiv,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,1
681,D1,Auto-postiv,So verstanden ende,7
682,WHS,Rufen,Zugführer von WHS kommen,4
683,ZF,Rufen,Hier Zugführer kommen,5
684,WHS,Informieren,Die Drohne muss jetzt landen,2
685,WHS,Informieren,weil der Akku leer ist kommen,2
686,ZF,Informieren,Schon wieder dann schicken wir doch wieder WHS ins Rennen kommen,2
687,ZF,Anruf akzeptieren,WHS mitgehört kommen,2
688,WHS,Informieren,WHS muss landen kommen,2
689,ZF,Auto-postiv,Ja das ist verstanden,2
690,WHS,Rufen,Zugführer von WHS kommen,4
691,ZF,Rufen,Ja hier Zugführer kommen,5
692,WHS,Informieren,Unsere Drohne ist wieder einsatzbereit kommen,2
693,ZF,Auto-postiv,Ja das ist verstanden,2
694,ZF,Informieren,für sie noch kein Einsatz der D1 ist noch im Flug im inneren kommen,2
695,WHS,Auto-postiv,Haben verstanden kommen,2
696,ZF,Rufen,Gruppenführer von Zugführer kommen,4
697,GF,Anruf akzeptieren,Gruppenführer hört,5
698,ZF,Auto-postiv,Ja Frage status Erkundungsergebnisse vom D5 kommen,3
699,GF,Auto-postiv,Ja bleiben sie kurz dran,6
700,GF,Rufen,Zugführer von Gruppenführer,4
701,ZF,Anruf akzeptieren,Hier Zugführer hört,5
702,GF,Informieren,Ja noch keine Auffälligkeiten bei Erkundung durch D5,2
703,ZF,Auto-postiv,Das ist verstanden,2
704,ZF,Anfordern,dann für sie neuer Erkundungssauftrag in die Halle einfahren und den D2 durch eine Bildübertragung unterstützen kommen,1
705,GF,Rufen,Ja den D2 duch eine Bildübertragung unterstützen kommen,7
706,ZF,Bestätigen,Ja das ist so korrekt,2
707,ZF,Informieren,für sie noch zur Information der Kanister wurde geborgen das Fass wird nun versiegelt kommen,2
708,GF,Auto-postiv,Der Gefahrgutbehälter wurde geborgen das Überfass wird verschlossen habe verstanden kommen,2
709,ZF,Auto-postiv,Ja so korrekt ende,2
710,ZF,Rufen,D1 von Zugführer kommen,4
711,D1,Anruf akzeptieren,D1 hört,5
712,ZF,Situationsfrage,Frage wolltet ihr nicht landen kommen,3
713,D1,Informieren,Wir haben noch 4 Minuten mindestens,2
714,ZF,Informieren,Ja perfekt für sie zur Information der D5 kommt jetzt auch zur Unterstützung mit Bildübertragung in die Halle kommen,2
715,D1,Task akzeptieren,Alles klar ende,2
716,ZF,Rufen,D2 für Zugführer kommen,4
717,ZF,Rufen,D2 für Zugführer kommen,4
718,D2,Anruf akzeptieren,D2 hört kommen,5
719,ZF,Auto-postiv,Ja für sie zur Information der D5 kommt auch noch zur Unterstützung mittels Bildübertragung in die Halle kommen,2
720,D2,Auto-postiv,Verstanden ende,2
721,GF,Rufen,Zugführer von Gruppenführer kommen,4
722,ZF,Anruf akzeptieren,Zugführer kommen,5
723,GF,Informieren,Ja zur Information der D5 fährt jetzt in die Halle ein um D2 zu unterstützen kommen,2
724,ZF,Auto-postiv,Ja soweit verstanden,2
725,D2,Rufen,Zugführer von D2 kommen,4
726,ZF,Rufen,Hier Zugführer kommen,5
727,GF,Rufen,Zugführer von Gruppenführer kommen,4
728,ZF,Pausieren,Gruppenführer warten sie kurz ende,6
729,D2,Informieren,Das Überfass wurde verschlossen kommen,2
730,ZF,Informieren,Ja hier Zugführer das Überfass wurde versiegelt ist das korrekt kommen,3
731,D2,Bestätigen,Das ist korrekt kommen,7
732,ZF,Auto-postiv,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,1
733,D2,Auto-postiv,Verstanden kommen,7
734,ZF,Bestätigen,So korrekt ende,2
735,ZF,Rufen,Gruppenführer von Zugführer kommen,4
736,GF,Anruf akzeptieren,Gruppenführer hört,5
737,ZF,Anruf akzeptieren,Sie hatten vorhin Sprechwunsch kommen,3
738,GF,Informieren,Der D5 hat den Zielort erreicht,2
739,GF,Anfordern,frage ausreichend Bildmaterial zur Unterstützung erhalten kommen,3
740,D1,Rufen,Zugführer von D1 kommen,4
741,ZF,Informieren,Das Bild ist super,2
742,ZF,Rufen,für sie zur Information das Überfass wurde versiegelt und der D2 fährt jetzt an der Gefahrenbereich heran kommen,2
743,GF,Auto-postiv,Ja verstanden,2
744,ZF,Rufen,D2 von Zugführer kommen,4
745,D2,Anruf akzeptieren,D2 hört kommen,5
746,ZF,Anfordern,Sofortiger Stop des Roboters,1
747,ZF,Informieren,Kontaminationsverschleppung,2
748,ZF,Anfordern,bitte verweilen sie am Gefahrenbereich kommen,1
749,D2,Auto-postiv,Verstanden kommen,7
750,ZF,Informieren,Schön wieder zurück,1
751,ZF,Antwort,das zeug wollen wir hier nicht draußen haben,2
752,D2,Auto-postiv,Verstanden kommen,7
753,D1,Rufen,Zugführer von D1 bitte kommen,4
754,ZF,Rufen,Hier Zugführer kommen,5
755,D1,Informieren,D1 muss landen bitte kommen,2
756,GF,Rufen,Zugführer von Gruppenführer kommen,4
757,ZF,Auto-postiv,Ja das ist verstanden,2
758,ZF,Informieren,auch für sie zur Information der D2 hat seinen Auftrag erledigt,2
759,ZF,Anfordern,für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,1
760,D1,Auto-postiv,verstanden ende,7
761,ZF,Anruf akzeptieren,hier Zugführer kommen,5
762,GF,Auto-postiv,Ja frage Einsatzbefehl für den D2,3
763,GF,Informieren,der D2 steht zum Abstransport mit Behälter bereit,2
764,ZF,Rufen,Korrektur der D3 Fragezeichen kommen,3
765,GF,Bestätigen,Ja das ist korrekt der D3 kommen,7
766,ZF,Anfordern,Dann Auftag für den D3 das Fass an die Gefahrengrenze bringen,1
767,GF,Auto-postiv,Ja das Überfass mit dem D3 an die Gefahrengrenze bringen verstanden,7
768,ZF,Rufen,D2 von Zugführer kommen,4
769,D2,Anruf akzeptieren,D2 kommen,5
770,ZF,Informieren,Für sie ist der einsatz hier beendet,1
771,ZF,Informieren,der roboter wird an den Dekontaminationstrupp übergeben kommen,2
772,D2,Auto-postiv,Verstanden kommen,7
773,GF,Rufen,Zugführer von Gruppenführer kommen,4
774,ZF,Anruf akzeptieren,Zugführer hört,5
775,GF,Informieren,Ja der D3 ist jetzt mit Überfass an der Gefahrengrenze kommen,2
776,ZF,Auto-postiv,Verstanden,2
777,ZF,Rufen,für sie hier auch Einsatzende,1
778,GF,Auto-postiv,Ja verstanden ende,7
779,TL,Anruf akzeptieren,Operator Boden 2 hörst du mich?,4
780,UGV-2,Anruf akzeptieren,hier spricht der Roboter-Operator 2 ich höre Sie klar und deutlich,5
781,TL,Rufen,Operator Boden 1 für Teamleader kommen,4
782,UGV-1,Task akzeptieren,ich kann dich klar und deutlich verstehen,5
783,TL,Task akzeptieren,großartig,2
784,TL,Rufen,Mission Commander für Teamleader,4
785,MC,Anruf akzeptieren,Mission Commander hört,5
786,TL,Informieren,wir sind soweit Kommunikation klappt,2
787,MC,Auto-postiv,ja verstanden,2
788,MC,Informieren,dann warten wir auf das Startsignal das wird ein Martinhorn sein,2
789,MC,Informieren,UAV auf Position?,3
790,TL,Anruf akzeptieren,Teamleader hört,5
791,MC,Informieren,auf dem Gelände hat es eine Explosion gegeben in nem unklaren Raum,2
792,MC,Informieren,wir haben im Moment Feuer drei gemeldet,2
793,MC,Anfordern,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,1
794,MC,Anfordern,so ihr Einsatzauftrag postieren Sie sich innerhalb der großen Halle im sicheren Bereich,1
795,MC,Anfordern,und melden Sie mir wenn Sie einsatzbereit sind,1
796,TL,Auto-postiv,hier Teamleader verstanden,7
797,TL,Rufen,Team auf Position gehen,1
798,TL,Informieren,Boden 1 nach rechts,1
799,UGV-2,Task akzeptieren,ja ich versuche das rauszufinden,7
800,MC,Rufen,Teamleader für Mission Commander,4
801,TL,Anruf akzeptieren,hier Teamleader,5
802,MC,Anfordern,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft,1
803,MC,Anfordern,suchen Sie nach möglichen Rauchentwicklungen,1
804,MC,Anfordern,konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,1
805,TL,Auto-postiv,ja Einsatzauftrag verstanden,7
806,TL,Anfordern,Operator Boden 1 fahren Sie nach links,1
807,UGV-1,Anruf akzeptieren,Operator Boden 1 hat gehört,2
808,UGV-1,Anruf akzeptieren,ich fahre nach links,7
809,UGV-1,Informieren,sehe dort schon Rauch- entwicklung,2
810,TL,Anfordern,da ein Foto machen,1
811,TL,Anfordern,Operator Boden 2 ein Foto senden,1
812,UGV-2,Anruf akzeptieren,hier ist Operator Boden 2,4
813,UGV-2,Informieren,wir können momentan keine Fotos machen,0
814,TL,Auto-postiv,hier Teamleader verstanden,2
815,TL,Anruf akzeptieren,UAV?,4
816,TL,Anfordern,bitte eine Gesamtübersicht von dem zentralen Gebäude,1
817,MC,Rufen,Teamleader von Mission Commander,4
818,TL,Anruf akzeptieren,Teamleader hört,5
819,MC,Informieren,zu Ihrer Information es werden zwei vermisste Personen gemeldet,2
820,TL,Auto-postiv,zwei vermisste Personen verstanden,2
821,TL,Anruf akzeptieren,Operator Boden 1,4
822,TL,Informieren,das Bild ist noch nicht angekommen,2
823,UGV-1,Situationsfrage,Teamleader hast du jetzt ein Bild?,3
824,TL,Ablehnen,negativ,0
825,UGV-1,Bestätigen,ja es klappt irgendwie nicht,2
826,MC,Rufen,Teamleader von Mission Commander kommen,4
827,TL,Anruf akzeptieren,Teamleader hört,5
828,MC,Informieren,ich hab auf meinem Bildschirm ein Bild der UAV,2
829,MC,Situationsfrage,können Sie das Bild interpretieren?,3
830,TL,Informieren,das Bild habe ich auch ich versuch's gerade größer zu machen,2
831,MC,Rufen,Teamleader von Mission Commander kommen,4
832,TL,Anruf akzeptieren,Teamleader hört,5
833,MC,Informieren,einer der Arbeiter hat zuletzt auf einem höheren Level der Anlage gearbeitet im Bereich des linken Hochofens ungefähr in 50 Meter Höhe,2
834,TL,Auto-postiv,hier Teamleader verstanden,2
