id,speakers,summary,tokens,tags
260,UAV,UGV-1 : ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden. TL : ja schickst du mir nochmal ein Bild? UGV-1 : wir haben auch jetzt hier erhöhte Rauchentwicklung.,und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes,2
261,UAV,UGV-1 : ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden. TL : ja schickst du mir nochmal ein Bild? UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes.,- an der - an dem Tank,6
262,TL,UGV-1 : ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden. TL : ja schickst du mir nochmal ein Bild? UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes.,ja verstanden,2
263,TL,TL : ja schickst du mir nochmal ein Bild? UGV-1 : wir haben auch jetzt hier erhöhte Rauchentwicklung. UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes.,UGV 2 von Einsatzleiter,4
264,UGV-2,UGV-1 : wir haben auch jetzt hier erhöhte Rauchentwicklung. UAV : ich hab dir doch noch ein Bild geschickt in Infrarot. UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes.,UGV 2 hört,5
265,TL,UGV-1 : wir haben auch jetzt hier erhöhte Rauchentwicklung. UAV : ich hab dir doch noch ein Bild geschickt in Infrarot. UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes.,Frage: wo ist jetzt euer Standort?,3
266,UGV-2,UAV : ich hab dir doch noch ein Bild geschickt in Infrarot. UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes.,wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde,2
267,TL,UAV : ich hab dir doch noch ein Bild geschickt in Infrarot. UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes. UGV-2 : wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde.,dann bewegt ihr euch einmal in östlicher Richtung?,3
268,UGV-2,UAV : ich hab dir doch noch ein Bild geschickt in Infrarot. UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes. TL : dann bewegt ihr euch einmal in östlicher Richtung?,dafür müsstest du mal sagen wo wir ungefähr sind,3
269,UGV-2,UAV : ich hab dir doch noch ein Bild geschickt in Infrarot. UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes. TL : dann bewegt ihr euch einmal in östlicher Richtung?,weil das können wir selber klar nicht feststellen,2
270,UGV-1,UAV : und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes. TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind.,Einsatzleiter von UGV 1,4
271,TL,UGV-2 : wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde. TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind.,ich höre,5
272,UGV-1,UGV-2 : wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde. TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind.,ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren,2
273,UGV-1,UGV-2 : wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde. TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind.,scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen,2
274,UGV-1,UGV-2 : wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde. TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind.,Si- andere Signaturen,6
275,TL,UGV-2 : wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde. TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind.,ja verstanden,2
276,TL,UGV-2 : wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde. TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind.,UGV 2 von Einsatzleiter,4
277,UGV-2,TL : dann bewegt ihr euch einmal in östlicher Richtung? UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind. UGV-1 : scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen.,UGV 2 hört,5
278,TL,UGV-2 : dafür müsstest du mal sagen wo wir ungefähr sind. UGV-2 : weil das können wir selber klar nicht feststellen. UGV-1 : scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen.,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
279,UGV-2,UGV-2 : weil das können wir selber klar nicht feststellen. UGV-1 : ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren. TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann.,ja,7
280,UGV-2,UGV-1 : ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren. UGV-1 : scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen. TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann.,Einsatzleiter von UGV 2,4
281,TL,UGV-1 : ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren. UGV-1 : scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen. TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann.,ja,5
282,UGV-2,UGV-1 : ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren. UGV-1 : scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen. TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann.,ja Foto ist geteilt,2
283,UGV-1,UGV-1 : scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen. TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann.,Einsatzleiter von UGV 1,4
284,TL,TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann.,ja ich höre,5
285,UGV-1,TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann.,ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt,2
286,UGV-1,TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann. UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt.,scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich,2
287,UGV-1,TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann. UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich.,ich bin drauf ich versuch das mal zu rollen,2
288,TL,TL : schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,ja verstanden,2
289,TL,UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,UGV 2 von Einsatzleiter,4
290,UGV-2,UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,UGV 2 hört,5
291,TL,UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
292,UGV-2,UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,ja das ist korrekt,7
293,TL,UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,UGV 2 von Einsatzleiter,4
294,UGV-2,UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,UGV 2 hört,5
295,TL,UGV-1 : ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt. UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen.,dann müsst ihr euch von da aus in östlicher Richtung bewegen,1
296,UGV-2,UGV-1 : scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich. UGV-1 : ich bin drauf ich versuch das mal zu rollen. TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen.,ja,7
297,UGV-2,UGV-1 : ich bin drauf ich versuch das mal zu rollen. TL : Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig? TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen.,wie ist da meine Blickrichtung auf dem Bild?,3
298,TL,TL : Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig? TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. UGV-2 : wie ist da meine Blickrichtung auf dem Bild?,schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken,2
299,UGV-2,TL : Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig? TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. UGV-2 : wie ist da meine Blickrichtung auf dem Bild?,ja verstanden,2
300,UAV,TL : Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig? TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. UGV-2 : wie ist da meine Blickrichtung auf dem Bild?,Einsatzführer von UAV,4
301,TL,TL : Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig? TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. UGV-2 : wie ist da meine Blickrichtung auf dem Bild?,ja ich höre,5
302,UAV,TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. UGV-2 : wie ist da meine Blickrichtung auf dem Bild? TL : schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken.,ich müsste erneut zurück wegen Akku Tausch,2
303,UAV,TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. UGV-2 : wie ist da meine Blickrichtung auf dem Bild? UAV : ich müsste erneut zurück wegen Akku Tausch.,möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen,2
304,TL,TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. UAV : ich müsste erneut zurück wegen Akku Tausch. UAV : möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen.,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,1
305,UAV,TL : dann müsst ihr euch von da aus in östlicher Richtung bewegen. TL : schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken. UAV : möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen.,so machen wir das,7
306,UGV-1,UGV-2 : wie ist da meine Blickrichtung auf dem Bild? TL : schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken. UAV : ich müsste erneut zurück wegen Akku Tausch.,Einsatzleiter von UGV 1,4
307,TL,UGV-2 : wie ist da meine Blickrichtung auf dem Bild? TL : schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken. UAV : ich müsste erneut zurück wegen Akku Tausch.,ich höre,5
308,UGV-1,TL : schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken. UAV : ich müsste erneut zurück wegen Akku Tausch. TL : ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab.,ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel,2
309,UGV-1,UAV : ich müsste erneut zurück wegen Akku Tausch. UAV : möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen. TL : ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab.,schau dir das bitte mal an beide Bilder sind geteilt,2
310,TL,UAV : ich müsste erneut zurück wegen Akku Tausch. TL : ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab. UGV-1 : schau dir das bitte mal an beide Bilder sind geteilt.,ja verstanden,7
311,UGV-1,UAV : ich müsste erneut zurück wegen Akku Tausch. TL : ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab. UGV-1 : schau dir das bitte mal an beide Bilder sind geteilt.,ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen,2
312,TL,UAV : ich müsste erneut zurück wegen Akku Tausch. UGV-1 : schau dir das bitte mal an beide Bilder sind geteilt. UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen.,ja verstanden,7
313,TL,UAV : möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen. UGV-1 : schau dir das bitte mal an beide Bilder sind geteilt. UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen.,ihr setzt die Erkundung in östlicher Richtung weiter fort,7
314,TL,TL : ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab. UGV-1 : ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel. UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen.,UGV 2 von Einsatzleiter,4
315,UGV-2,UGV-1 : ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel. UGV-1 : schau dir das bitte mal an beide Bilder sind geteilt. UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen.,UGV 2 hört,5
316,TL,UGV-1 : ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel. UGV-1 : schau dir das bitte mal an beide Bilder sind geteilt. UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen.,Frage: wo ist euer Standort inzwischen?,3
317,UGV-2,UGV-1 : ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel. TL : ihr setzt die Erkundung in östlicher Richtung weiter fort. TL : Frage: wo ist euer Standort inzwischen?,immer noch nicht klar,2
318,TL,UGV-1 : ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel. TL : ihr setzt die Erkundung in östlicher Richtung weiter fort. TL : Frage: wo ist euer Standort inzwischen?,UAV von Einsatzleiter,4
319,UAV,UGV-1 : schau dir das bitte mal an beide Bilder sind geteilt. UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen. TL : Frage: wo ist euer Standort inzwischen?,hier ist die UAV,5
320,TL,UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen. TL : ihr setzt die Erkundung in östlicher Richtung weiter fort. TL : Frage: wo ist euer Standort inzwischen?,Frage: könnt ihr aus eurer Position den UGV 1 sehen?,3
321,UAV,UGV-1 : ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen. TL : ihr setzt die Erkundung in östlicher Richtung weiter fort. TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen?,wir sind unterwegs und melden uns gleich nochmal,6
322,TL,TL : ihr setzt die Erkundung in östlicher Richtung weiter fort. TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal.,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,1
323,UAV,TL : ihr setzt die Erkundung in östlicher Richtung weiter fort. TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal.,ja ist verstanden,7
324,UGV-1,TL : Frage: wo ist euer Standort inzwischen? TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal.,UAV von UGV 1 kommen,4
325,UAV,TL : Frage: wo ist euer Standort inzwischen? TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal.,hier ist UAV,5
326,UGV-1,TL : Frage: wo ist euer Standort inzwischen? TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal.,ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden,2
327,UAV,TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal. TL : ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war.,hast du eine Ebene? auf welcher Ebene?,3
328,UGV-1,TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal. TL : ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war.,ja auf der ersten Ebene zu den Rampen hin,2
329,UAV,TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal. UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden.,ja ich sehe dich,2
330,UAV,TL : Frage: könnt ihr aus eurer Position den UGV 1 sehen? UAV : wir sind unterwegs und melden uns gleich nochmal. UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden.,Einsatzleiter von UAV,4
331,TL,UAV : wir sind unterwegs und melden uns gleich nochmal. TL : ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war. UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden.,ja ich höre,5
332,UAV,TL : ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war. UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden. UGV-1 : ja auf der ersten Ebene zu den Rampen hin.,ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,3
333,TL,UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden. UGV-1 : ja auf der ersten Ebene zu den Rampen hin. UAV : ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,3
334,UAV,UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden. UGV-1 : ja auf der ersten Ebene zu den Rampen hin. TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,ja ist negativ,0
335,UAV,UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden. UGV-1 : ja auf der ersten Ebene zu den Rampen hin. TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug,2
336,UAV,UGV-1 : ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden. UGV-1 : ja auf der ersten Ebene zu den Rampen hin. TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,das U- das erdgebundene,6
337,TL,UGV-1 : ja auf der ersten Ebene zu den Rampen hin. UAV : ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen? TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,ja das ist verstanden,2
338,TL,UGV-1 : ja auf der ersten Ebene zu den Rampen hin. UAV : ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen? TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,UGV 2 von Einsatzleiter,4
339,UGV-2,UAV : ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen? TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen? UAV : das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug.,UGV 2 hört,5
340,TL,UAV : ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen? TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen? UAV : das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug.,wie weit seid ihr?,3
341,UGV-2,UAV : ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen? TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen? UAV : das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug.,ja ich bin jetzt wieder im Außenbereich,2
342,UGV-2,UAV : ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen? TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen? UGV-2 : ja ich bin jetzt wieder im Außenbereich.,hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen,2
343,TL,TL : ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen? UAV : das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug. UGV-2 : ja ich bin jetzt wieder im Außenbereich.,ja schickst du mir mal ein Foto?,1
344,UGV-2,UAV : das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug. UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen.,ja Foto kommt,7
345,TL,UAV : das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug. UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen.,UGV 1 von Einsatzleiter,4
346,UGV-1,UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen.,UGV 1 hört,5
347,TL,UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen.,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
348,UGV-1,UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen. TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,ja das kann ich machen,7
349,UGV-1,UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen. TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,ich breche dann die Erkundung in östlicher Richtung ab,2
350,TL,UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen. UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab.,ja verstanden,2
351,UAV,UGV-2 : ja ich bin jetzt wieder im Außenbereich. UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen. UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab.,Einsatzleiter von UAV,4
352,TL,UGV-2 : hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen. TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können? UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab.,ich höre,5
353,UGV-1,TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können? UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab.,nähere mich der Rauchquelle,2
354,UAV,TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können? UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab.,ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken,2
355,TL,TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können? UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab. UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken.,ja das ist verstanden,2
