id,speakers,tokens,tags
529,WHS,WHS hat verstanden ende,7
530,ZF,Gruppenführer von Zugführer kommen,4
531,GF,Gruppenführer hört,5
532,ZF,Ja Erkundungsergebnisse von dem Innenflug haben ergeben es handelt sich nach HON nummer um Schwefelsäure,2
533,ZF,keine Einsatzkraft betritt den Gefahrenbereich kommen,2
534,GF,Erkundung ergeben Stoffidentifikation Schwefelsäure keine Einsatzkraft betritt den Gefahrenbereich verstanden,2
535,ZF,Es handelt sich um einen umgekippten 20Liter Kanister der vom Regal runtegefallen ist und sich geöffnet handelt,2
536,ZF,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,1
537,ZF,Falsch den hast du ja gar nicht,6
538,ZF,D2 von Zugführer kommen,4
539,D2,D2 hört kommen,5
540,GF,Die manipulation wird vom Trupp D2 vorgenommen wir warten weiter ab,2
541,ZF,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure,2
542,ZF,für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,1
543,D2,Verstanden Auftrag wird ausgeführt ende,7
544,ZF,Gruppenführer von Zugführer kommen,4
545,ZF,D2 von Zugführer kommen,4
546,D2,D2 hört kommen,5
547,ZF,Frage an sie sie hatten auch das aufnahmebild vom inneren der Lagerhalle gesehen kommen,3
548,D2,Ja,7
549,ZF,D1 von Zugführer kommen,4
550,D1,D1 hier kommen,5
551,ZF,Für sie Paralleleinsatz der D2 geht zur Manipulation in die Lagerhalle vor,2
552,ZF,für sie Bereitstellung eines Luftbildes aus der Halle kommen,1
553,D1,Verstanden ende,7
554,ZF,Gruppenführer von Zugführer kommen,4
555,GF,Sie haben sprechwunsch,5
556,ZF,Das ist so korrekt,2
557,ZF,der befindet sich gerade in der Anfahrt zum Gefahrgutobjekt,2
558,ZF,für sie logistische Unterstützung durch den D3 mit dem Überfass kommen,1
559,GF,D2 auf der Anfahrt zur Manipulation D3 zur Unterstützung vor das ist verstanden kommen,7
560,ZF,Ja das ist so korrekt ende,2
561,ZF,D2 von Zugführer kommen,4
562,D2,Was soll mit dem Kanister geschehen kommen,3
563,ZF,Ja das ist so korrekt warten sie noch auf den D3 der wird ihnen als Logistikaufgabe das Überfass bereitstellen kommen,2
564,ZF,D2 von Zugführer kommen,4
565,D2,D2 hört kommen,5
566,ZF,Ja für sie zur Information bitte warten bis der D3 als Logistikunterstützung kommt,1
567,ZF,er wird ihnen das Überfass zum sichern des Behältnisses bereitstellen kommen,2
568,D2,Verstanden wir warten kommen,7
569,ZF,Ja das ist soweit verstanden,2
570,ZF,Gruppenführer von Zugführer kommen,4
571,GF,Gruppenführer hört,5
572,ZF,Frage status D3 kommen,3
573,GF,Der D3 ist einsatzbereit und wartet auf einen Befehl,2
574,ZF,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,1
575,GF,D3 fährt zum D2 vor und Vorbereitung des Überfasses kommen,7
576,ZF,Ja so korrekt ende,2
577,GF,Zugführer von Gruppenführer kommen,4
578,ZF,Hier Zugführer kommen,5
579,GF,Die Standorte der Roboter sind im Lagebild nicht zu erkennen kommen,2
580,ZF,Ja das ist verstanden,2
581,ZF,gebe das an den Techniker hier weiter kommen,2
582,GF,Ja verstanden ende,2
583,ZF,D2 von Zugführer kommen,4
584,D2,D2 hört kommen,5
585,ZF,D3 mit Überfass ist am Standort angekommen,2
586,ZF,für sie Beginn des Auftrages Bergung des Behältnisses kommen,1
587,D2,Auftrag wird ausgeführt kommen,7
588,ZF,Ja das ist so korrekt ende,2
589,D1,Zugführer D1 bitte kommen,4
590,ZF,Hier Zugführer kommen,5
591,D1,D1 müsste nachladen bitte kommen,2
592,ZF,Bitte die Aussage wiederholen kommen,1
593,D1,D1 müsste neue Batterien bekommen dazu müssen wir landen bitte kommen,2
594,ZF,WHS von Zugführer kommen,4
595,WHS,Hier WHS kommen,5
596,ZF,Der D1 ist jetzt gerade im Akkuwechsel,2
597,ZF,für sie Übergangsauftrag Bilddarstellung in der Lagerhalle innen kommen,1
598,WHS,Auftrag verstanden ende,7
599,ZF,D2 von Zugführer kommen,4
600,D2,D2 hört kommen,5
601,ZF,Frage ist die Position des Überfasses ausreichend kommen,3
602,D2,Die Position von D3 ist OK kommen,7
603,ZF,Ja das ist verstanden ende,2
604,WHS,Zugführer an WHS kommen,4
605,D1,Zugführer von D1,4
606,ZF,Hier Zugführer kommen,5
607,D1,D1 ist wieder bereit bitte kommen,2
608,ZF,Ja das ist verstanden,2
609,ZF,für sie noch kurze Pause WHS ist gerade im Erkundungsflug kommen,2
610,D1,Haben verstanden ende,2
611,ZF,Gruppenführer von Zugführer kommen,4
612,GF,Gruppenführer hört,5
613,ZF,Frage Status Lagebildsystem,3
614,GF,Ja die Roboter D1 und D2 im Lagebild ersichtlich kommen,2
615,ZF,Ja das ist verstanden,2
616,GF,D3 und D5 können nicht im Lagebild dargestellt werden,2
617,ZF,D3 und D5 können nicht im Lagebild dargestellt werden das ist verstanden,2
618,D2,Zugführer von D2 kommen,4
619,ZF,Hier Zugführer kommen,5
620,D2,D2 hat den Kanister aufgenommen und fährt ihn jetzt zu D3 kommen,2
621,ZF,Ja das ist verstanden,2
622,ZF,bitte melden wenn durchgeführt,1
623,ZF,WHS von Zugführer kommen,4
624,WHS,hier WHS kommen,5
625,ZF,Für sie ist der Erkundungsauftrag beendet kommen,2
626,WHS,Haben verstanden ende,2
627,ZF,D1 mitgehört sie können wieder die Innenerkundung starten kommen,1
628,D1,Verstanden ende,7
629,ZF,WHS von Zugführer kommen,4
630,WHS,Hier WHS kommen,5
631,ZF,Für sie Erkundungsauftrag Panoramabild der gesammten Lagerhalle kommen,1
632,WHS,Soll das Panoramabild über der Lagerhalle gemacht werden kommen,3
633,ZF,Ja das ist so korrekt kommen,7
634,WHS,haben verstanden ende,2
635,ZF,Gruppenführer von Zugführer kommen,4
636,GF,Gruppenführer hört,5
637,ZF,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,1
638,GF,Erkundungsauftrag mit dem D5 linke Seite der Lagerhalle kommen,7
639,ZF,Ja das ist so korrekt,2
640,ZF,Gruppenführer von Zugführer kommen,4
641,GF,Gruppenführer hört,5
642,ZF,Wie sieht der Status dafür aus den D3 gleich mit geschlossenem Überfass aus der Lagerhalle zu fahren kommen,3
643,GF,Ja ich melde mich gleich kommen,2
644,ZF,Ja das ist verstanden ende,7
645,GF,Zugführer von Gruppenführer kommen,4
646,ZF,Hier Zugführer kommen,5
647,GF,Zur Information D5 zur Erkundung vor kommen,2
648,ZF,D5 zur Erkundung linker Seite das ist verstanden,2
649,WHS,Zugführer von WHS kommen,4
650,GF,Ja genau ende,2
651,ZF,Hier Zugführer kommen wer hat gerufen kommen,5
652,WHS,Zugführer von WHS kommen,4
653,ZF,Ja hier Zugführer kommen,5
654,WHS,Panoramabild wurde erstellt kommen,2
655,ZF,Ja das ist verstanden,2
656,ZF,ist das im Lagebildsystem zu erkennen kommen,3
657,WHS,Im Lagebildsystem ist nicht kann es nicht erkannt werden kommen,0
658,GF,Zugführer von Gruppenführer kommen,4
659,ZF,Hier Zugführer kommen,5
660,GF,Frage der D3 soll noch nicht zurückgesetzt werden kommen,3
661,ZF,Ja das ist korrekt,7
662,ZF,wir warten noch auf die Verfrachtung des Behälters und danach wird er verschlossen kommen,2
663,GF,Ja verstanden ende,2
664,GF,D5 von Gruppenführer kommen,4
665,GF,falsches Funkgerät,2
666,ZF,Gruppenführer von Zugführer kommen,4
667,GF,Gruppenführer hört,5
668,D2,Zugführer von D2 kommen,4
669,ZF,Bitte ich sehe das bild vom D5 im Lagebildsystem bitte einmal die Gasse komplett durch,1
670,D2,Zugführer von D2 kommen,4
671,GF,Ja verstanden,7
672,ZF,Hier Zugführer kommen,5
673,D2,D2 hat das Fass in das Überfass abgelegt,2
674,D2,soll das Überfass auch abgedichtet werden kommen,3
675,ZF,Behältniss wurde ins Überfass verfrachtet,2
676,ZF,positiv  das Fass soll geschlossen werden kommen,7
677,D2,Verstanden ende,2
678,ZF,D1 von Zugführer kommen,4
679,D1,Hier D1 kommen,5
680,ZF,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,1
681,D1,So verstanden ende,7
682,WHS,Zugführer von WHS kommen,4
683,ZF,Hier Zugführer kommen,5
684,WHS,Die Drohne muss jetzt landen,2
685,WHS,weil der Akku leer ist kommen,2
686,ZF,Schon wieder dann schicken wir doch wieder WHS ins Rennen kommen,2
687,ZF,WHS mitgehört kommen,2
688,WHS,WHS muss landen kommen,2
689,ZF,Ja das ist verstanden,2
690,WHS,Zugführer von WHS kommen,4
691,ZF,Ja hier Zugführer kommen,5
692,WHS,Unsere Drohne ist wieder einsatzbereit kommen,2
693,ZF,Ja das ist verstanden,2
694,ZF,für sie noch kein Einsatz der D1 ist noch im Flug im inneren kommen,2
695,WHS,Haben verstanden kommen,2
696,ZF,Gruppenführer von Zugführer kommen,4
697,GF,Gruppenführer hört,5
698,ZF,Ja Frage status Erkundungsergebnisse vom D5 kommen,3
699,GF,Ja bleiben sie kurz dran,6
700,GF,Zugführer von Gruppenführer,4
701,ZF,Hier Zugführer hört,5
702,GF,Ja noch keine Auffälligkeiten bei Erkundung durch D5,2
703,ZF,Das ist verstanden,2
704,ZF,dann für sie neuer Erkundungssauftrag in die Halle einfahren und den D2 durch eine Bildübertragung unterstützen kommen,1
705,GF,Ja den D2 duch eine Bildübertragung unterstützen kommen,7
706,ZF,Ja das ist so korrekt,2
707,ZF,für sie noch zur Information der Kanister wurde geborgen das Fass wird nun versiegelt kommen,2
708,GF,Der Gefahrgutbehälter wurde geborgen das Überfass wird verschlossen habe verstanden kommen,2
709,ZF,Ja so korrekt ende,2
710,ZF,D1 von Zugführer kommen,4
711,D1,D1 hört,5
712,ZF,Frage wolltet ihr nicht landen kommen,3
713,D1,Wir haben noch 4 Minuten mindestens,2
714,ZF,Ja perfekt für sie zur Information der D5 kommt jetzt auch zur Unterstützung mit Bildübertragung in die Halle kommen,2
715,D1,Alles klar ende,2
716,ZF,D2 für Zugführer kommen,4
717,ZF,D2 für Zugführer kommen,4
718,D2,D2 hört kommen,5
719,ZF,Ja für sie zur Information der D5 kommt auch noch zur Unterstützung mittels Bildübertragung in die Halle kommen,2
720,D2,Verstanden ende,2
721,GF,Zugführer von Gruppenführer kommen,4
722,ZF,Zugführer kommen,5
723,GF,Ja zur Information der D5 fährt jetzt in die Halle ein um D2 zu unterstützen kommen,2
724,ZF,Ja soweit verstanden,2
725,D2,Zugführer von D2 kommen,4
726,ZF,Hier Zugführer kommen,5
727,GF,Zugführer von Gruppenführer kommen,4
728,ZF,Gruppenführer warten sie kurz ende,6
729,D2,Das Überfass wurde verschlossen kommen,2
730,ZF,Ja hier Zugführer das Überfass wurde versiegelt ist das korrekt kommen,3
731,D2,Das ist korrekt kommen,7
732,ZF,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,1
733,D2,Verstanden kommen,7
734,ZF,So korrekt ende,2
735,ZF,Gruppenführer von Zugführer kommen,4
736,GF,Gruppenführer hört,5
737,ZF,Sie hatten vorhin Sprechwunsch kommen,3
738,GF,Der D5 hat den Zielort erreicht,2
739,GF,frage ausreichend Bildmaterial zur Unterstützung erhalten kommen,3
740,D1,Zugführer von D1 kommen,4
741,ZF,Das Bild ist super,2
742,ZF,für sie zur Information das Überfass wurde versiegelt und der D2 fährt jetzt an der Gefahrenbereich heran kommen,2
743,GF,Ja verstanden,2
744,ZF,D2 von Zugführer kommen,4
745,D2,D2 hört kommen,5
746,ZF,Sofortiger Stop des Roboters,1
747,ZF,Kontaminationsverschleppung,2
748,ZF,bitte verweilen sie am Gefahrenbereich kommen,1
749,D2,Verstanden kommen,7
750,ZF,Schön wieder zurück,1
751,ZF,das zeug wollen wir hier nicht draußen haben,2
752,D2,Verstanden kommen,7
753,D1,Zugführer von D1 bitte kommen,4
754,ZF,Hier Zugführer kommen,5
755,D1,D1 muss landen bitte kommen,2
756,GF,Zugführer von Gruppenführer kommen,4
757,ZF,Ja das ist verstanden,2
758,ZF,auch für sie zur Information der D2 hat seinen Auftrag erledigt,2
759,ZF,für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,1
760,D1,verstanden ende,7
761,ZF,hier Zugführer kommen,5
762,GF,Ja frage Einsatzbefehl für den D2,3
763,GF,der D2 steht zum Abstransport mit Behälter bereit,2
764,ZF,Korrektur der D3 Fragezeichen kommen,3
765,GF,Ja das ist korrekt der D3 kommen,7
766,ZF,Dann Auftag für den D3 das Fass an die Gefahrengrenze bringen,1
767,GF,Ja das Überfass mit dem D3 an die Gefahrengrenze bringen verstanden,7
768,ZF,D2 von Zugführer kommen,4
769,D2,D2 kommen,5
770,ZF,Für sie ist der einsatz hier beendet,1
771,ZF,der roboter wird an den Dekontaminationstrupp übergeben kommen,2
772,D2,Verstanden kommen,7
773,GF,Zugführer von Gruppenführer kommen,4
774,ZF,Zugführer hört,5
775,GF,Ja der D3 ist jetzt mit Überfass an der Gefahrengrenze kommen,2
776,ZF,Verstanden,2
777,ZF,für sie hier auch Einsatzende,1
778,GF,Ja verstanden ende,7
779,TL,Operator Boden 2 hörst du mich?,4
780,UGV-2,hier spricht der Roboter-Operator 2 ich höre Sie klar und deutlich,5
781,TL,Operator Boden 1 für Teamleader kommen,4
782,UGV-1,ich kann dich klar und deutlich verstehen,5
783,TL,großartig,2
784,TL,Mission Commander für Teamleader,4
785,MC,Mission Commander hört,5
786,TL,wir sind soweit Kommunikation klappt,2
787,MC,ja verstanden,2
788,MC,dann warten wir auf das Startsignal das wird ein Martinhorn sein,2
789,MC,UAV auf Position?,3
790,TL,Teamleader hört,5
791,MC,auf dem Gelände hat es eine Explosion gegeben in nem unklaren Raum,2
792,MC,wir haben im Moment Feuer drei gemeldet,2
793,MC,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,1
794,MC,so ihr Einsatzauftrag postieren Sie sich innerhalb der großen Halle im sicheren Bereich,1
795,MC,und melden Sie mir wenn Sie einsatzbereit sind,1
796,TL,hier Teamleader verstanden,7
797,TL,Team auf Position gehen,1
798,TL,Boden 1 nach rechts,1
799,UGV-2,ja ich versuche das rauszufinden,7
800,MC,Teamleader für Mission Commander,4
801,TL,hier Teamleader,5
802,MC,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft,1
803,MC,suchen Sie nach möglichen Rauchentwicklungen,1
804,MC,konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,1
805,TL,ja Einsatzauftrag verstanden,7
806,TL,Operator Boden 1 fahren Sie nach links,1
807,UGV-1,Operator Boden 1 hat gehört,2
808,UGV-1,ich fahre nach links,7
809,UGV-1,sehe dort schon Rauch- entwicklung,2
810,TL,da ein Foto machen,1
811,TL,Operator Boden 2 ein Foto senden,1
812,UGV-2,hier ist Operator Boden 2,4
813,UGV-2,wir können momentan keine Fotos machen,0
814,TL,hier Teamleader verstanden,2
815,TL,UAV?,4
816,TL,bitte eine Gesamtübersicht von dem zentralen Gebäude,1
817,MC,Teamleader von Mission Commander,4
818,TL,Teamleader hört,5
819,MC,zu Ihrer Information es werden zwei vermisste Personen gemeldet,2
820,TL,zwei vermisste Personen verstanden,2
821,TL,Operator Boden 1,4
822,TL,das Bild ist noch nicht angekommen,2
823,UGV-1,Teamleader hast du jetzt ein Bild?,3
824,TL,negativ,0
825,UGV-1,ja es klappt irgendwie nicht,2
826,MC,Teamleader von Mission Commander kommen,4
827,TL,Teamleader hört,5
828,MC,ich hab auf meinem Bildschirm ein Bild der UAV,2
829,MC,können Sie das Bild interpretieren?,3
830,TL,das Bild habe ich auch ich versuch's gerade größer zu machen,2
831,MC,Teamleader von Mission Commander kommen,4
832,TL,Teamleader hört,5
833,MC,einer der Arbeiter hat zuletzt auf einem höheren Level der Anlage gearbeitet im Bereich des linken Hochofens ungefähr in 50 Meter Höhe,2
834,TL,hier Teamleader verstanden,2
835,TL,UAV-Operator für Teamleader kommen,4
836,UAV,UAV-Operator ja?,5
837,TL,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe,1
838,TL,und dann ein Foto senden,1
839,UAV,okay,7
840,TL,Operator Boden 2,4
841,TL,können Sie ein Bild senden?,3
842,UGV-2,hier Operator Boden 2,5
843,UGV-2,momentan kann ich keine Bilder senden,0
844,MC,Teamleader von Mission Commander,4
845,TL,hier Teamleader,5
846,MC,auf einem der Fotos sind Rauchentwicklungen zu erkennen,2
847,MC,wie ist der Status Ihrer Bodenroboter beziehungsweise der Standort?,3
848,MC,ist es möglich die Quelle der Rauchentwicklung mit dem Bodenroboter zu finden?,3
849,UGV-1,Teamleader zu Bodenoperator 1 kommen,4
850,TL,Bodenoperator 1 sprechen,5
851,UGV-1,Leckage entdeckt über Bodenroboter,2
852,TL,sehr gut,2
853,TL,einmal ein Foto machen,1
854,UGV-1,ich versuch' das mal,7
855,UAV,UAV Operator,4
856,UAV,wir haben uns den Hochofen jetzt von oben angeguckt es ist nirgendwo ein Opfer zu sehen,2
857,TL,ist von oben Verrauchung zu sehen?,3
858,UAV,ja,7
859,TL,dann bitte einmal ein Foto davon und wieder landen,1
860,UAV,okay,7
861,TL,Mission Commander für Teamleader,4
862,MC,Mission Commander hört,5
863,TL,der Operator Boden 1 hat eine Leckage entdeckt,2
864,TL,das ist auf der ersten Etage und man könnte von hier unten einen Löscheingriff aufbauen und das Ganze eingrenzen,2
865,MC,ja,2
866,MC,dann überstelle ich Ihnen einen Trupp der sich auf der entgegengesetzten Seite auf der Brücke bereitet,2
867,MC,bitte über Kanal 53WU ansprechen,1
868,TL,ja verstanden,7
869,UGV-1,Teamleader von Bodenoperator 1,4
870,TL,hier Teamleader,5
871,UGV-1,'s ist technisch nicht möglich Bilder zu senden,2
872,TL,ja verstanden,2
873,MC,Teamleader von Mission Commander kommen,4
874,TL,Mission Commander für Teamleader,4
875,MC,Mission Commander hört,5
876,TL,Sie hatten was?,3
877,MC,ja,7
878,MC,gibt es eine Information über die Substanz die dort austritt?,3
879,TL,ja von Operator Boden 1,7
880,TL,Operator Boden 1 für Teamleader kommen,4
881,UGV-1,Operator Boden 1 hört,5
882,TL,was hatten Sie?,3
883,UGV-1,die ausströmende Flüssigkeit ist ein dichter weißlicher Nebel Flüssigkeit unbekannt,2
884,TL,alles klar,2
885,TL,ist es möglich ein Foto von dem Fass zu machen was daneben steht?,3
886,UGV-1,weiterhin technisch nicht möglich Fotos zu senden,0
887,TL,gut,2
888,TL,Mission Commander für Teamleader kommen,4
889,MC,Mission Commander hört,5
890,TL,ein Trupp ist in der Nähe dort wo auch der Operator Boden 1 seinen Roboter hat und hat dort ein Fass entdeckt in Grün und ein weiteres Fass mit einer Plakette drauf - ätzend - in Gelb und braucht weitere Unterstützung,2
891,TL,ich fordere weitere Kräfte an,2
892,MC,okay dann ändern wir Einsatzstichwort auf technische Hilfe ABC,2
893,MC,versuchen Sie mit hilfe der Bodenroboter die Substanzen herauszufinden,1
894,MC,oder ob es möglich ist die Leckage abzudichten,1
895,TL,ja verstanden,7
896,TL,Mission Commander für Teamleader,4
897,MC,Mission Commander hört,5
898,TL,draußen steht ein Löschzug mit Blaulicht,2
899,TL,soll ich die mal ansprechen? nicht dass sie wegen dem Rauch hier stehen,3
900,MC,ja auf jeden Fall mach das mal,7
901,TL,alles klar,2
902,TL,es kommt jetzt hier ein Gruppenführer,2
903,TL,Übungende,1
904,TL,für alle: Übungende,1
905,UAV,okay,7
906,UGV-2,okay,7
907,TL,Bodenoperator für Teamleader kommen,4
908,TL,Bodenoperator 1 für Teamleader,4
909,UGV-1,Bodenoperator 1 hört,5
910,TL,wir können jetzt gleich starten die Drohne ist bereit,2
911,TL,Bodenoperator 2 für Teamleader kommen,4
912,TL,Bodenoperator 2 für Teamleader kommen,4
913,UGV-2,hier Bodenoperator 2,5
914,TL,Verständigung einwandfrei,3
915,UGV-2,ja ich verstehe Sie,7
916,TL,gut,2
917,TL,Drohnenoperator für Teamleader kommen,4
918,TL,Drohnenoperator für Teamleader kommen,4
919,TL,Drohnenoperator für Team-Operator kommen,4
920,UGV-2,hier Robot-Operator 2,4
921,TL,Verständigung war einwandfrei?,3
922,UGV-2,ja ich verstehe Sie einwandfrei,7
923,UAV,UAV-Operator,5
924,UAV,wir sind einsatzbereit,2
925,UAV,UAV operator für team leader,4
926,UAV,sollen wir starten mit der UAV und einen Überblick verschaffen?,3
927,TL,ja,7
928,TL,Drohnenoperator starten Sie und machen Sie sich einen Überblick über die Lage,1
929,TL,über- machen,6
930,TL,wir vermissen Personen und eine unklare Sache in der ganzen Area,2
931,UAV,okay,7
932,TL,Bodenoperator für Teamleader kommen,4
933,UGV-2,hier Bodenoperator 2,5
934,TL,starten Sie Ihre Roboter zur Erkundung der Area,1
935,TL,ist eine unklare Sache wir wissen noch nicht genau was da passiert ist,2
936,TL,Personen sind vermisst,2
937,UGV-2,starten die Suche mit Roboter 2 jetzt,7
938,TL,Bodenoperator 1 für Teamleader kommen,4
939,UGV-1,Bodenoperator 1 hat mitgehört und startet ebenfalls,5
940,UAV,UAV-Operator an Teamleader,4
941,UAV,ich habe ein Bild veröffentlicht,2
942,UAV,was zeigte dass keine Rauchentwicklung gibt über der Anlage,2
943,TL,ja Teamleader hat mitgehört,2
944,TL,aber so leichte Rauchentwicklung ist jetzt zu sehen,2
945,TL,mehr Richtung Hochofen einmal schauen,1
946,UAV,okay,7
947,UGV-1,Teamleader von Bodenoperator 1,4
948,TL,Teamleader hört,5
949,UGV-1,ich bin am Ende der ersten Rampe hab in beiden Richtungen geguckt,2
950,UGV-1,in keiner Richtung was Auffälliges,2
951,UGV-1,soll ich rechts oder links rum?,3
952,TL,Position beibehalten,2
953,TL,wir versuchen weitere Informationen zu bekommen,2
954,TL,Drohnenoperator für Teamleader kommen,4
955,UAV,hier Drohnenoperator,5
956,TL,ist bei euch was zu sehen?,3
957,UAV,wir mussten gerade die Applikation nochmal neu starten,2
958,UAV,ich hab Bilder freigegeben wir versuchen sie gerade sichtbar zu machen,2
959,TL,auf meinem Tablet ist nix zu sehen,2
960,UAV,okay,2
961,UAV,ein paar Sekunden noch,2
962,TL,Bodenoperator 1 für Teamleader kommen,4
963,UGV-1,hier Bodenoperator 1,5
964,TL,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,1
965,UGV-1,nach links verstanden,7
966,TL,Bodenoperator 1 für Teamleader kommen,4
967,UGV-1,hier Bodenoperator 1,5
968,TL,fährst du die falsche Richtung?,3
969,UGV-1,Teamleader für Bodenoperator 1,4
970,TL,Teamleader hört,5
971,UGV-1,voraus ist 'ne Treppe und da drüber relativ dichter Rauch zu sehen,2
972,UGV-1,soll ich ein Foto machen?,2
973,TL,ja wenn's geht,7
974,TL,näher ranfahren zum Lokalisieren wo dieser Rauch entsteht und Foto machen und mir senden,1
975,TL,aber ich kann immer noch nichts empfangen,2
976,UAV,Teamleader für UAV bereit da?,4
977,TL,Teamleader hört,5
978,TL,die Bilder habe ich jetzt bekommen,2
979,UAV,alles klar,2
980,UAV,man kann von oben sehen dass der Rauch aus dem Gebäude austritt,2
981,TL,das habe ich auch gesehen,2
982,TL,ich schick da erst mal ein Trupp ein,2
983,UGV-2,Teamleader für Robot-Operator 2,4
984,TL,ja Teamleader hört,5
985,UGV-2,wir haben leider Probleme mit dem Joystick und sitzen noch an der Startposition fest,2
986,UGV-2,wir versuchen das jetzt zu beheben,2
987,TL,wenn ihr ja weiter einsatzbereit seid dann bitte melden,1
988,UGV-2,machen wir,7
989,UGV-1,Teamleader für Bodenoperator 1,4
990,UGV-1,Teamleader für Bodenoperator 1,4
991,TL,Teamleader hört,5
992,UGV-1,vor mir ist ein grünes Fass und da obendrauf steht noch ein gelbes und ich habe Personen in dem Rauch gesehen,2
993,UGV-1,der Rauch kommt von rechts,2
994,TL,verstanden,2
995,UGV-1,ich versuche von dem Fass ein gutes Foto zu machen,2
996,TL,okay,7
997,UGV-1,Teamleader für Bodenroboter 1,4
998,TL,Teamleader hört,5
999,UGV-1,Bodenoperator 1 hat die Leckage gefunden an einem Stromerzeuger,2
1000,UGV-1,Foto wurde gesendet,2
1001,UGV-1,hast du denn es empfangen?,3
1002,UGV-1,Teamleader für Bodenoperator 1,4
1003,TL,Teamleader hört,5
1004,UGV-1,eine Person gesichtet,2
1005,UGV-1,ist in der Nähe von dem Fass und von der Leckage wo der Rauch austritt,2
1006,UGV-1,Foto habe ich dir geschickt,2
1007,TL,versta- Mission,6
1008,TL,Mission Operator für Teamleader kommen,4
1009,UAV,Teamleader für UAV-Operator,4
1010,UAV,Teamleader für UAV-Operator,4
1011,TL,Teamleiter kann hören,5
1012,UAV,wir haben ein Opfer gefunden liegt auf liegt auf der hinteren Seite des Hochofens angelehnt scheint bewusstlos zu sein,2
1013,TL,ja ich schick mal ein Trupp hin,2
1014,UAV,da ist keine Rauchentwicklung,2
1015,TL,okay ich schick ein Trupp hin,2
1016,UGV-1,Teamleader für Bodenoperator 1,4
1017,UGV-1,hab Sie nicht verstanden,2
1018,TL,ich kann nur noch kommunizieren ich kann keine Bilder empfangen oder auch senden,2
1019,TL,kommen,4
1020,UGV-2,Teamleader für Bodenoperator 2 kommen,4
1021,TL,Teamleader hört,5
1022,UGV-2,wir haben das Problem behoben mit der Fernsteuerung und machen uns auf auf den Weg hinein,2
1023,TL,wie gesagt ich kann keine Bilder empfangen,2
1024,UGV-1,Teamleader für Bodenoperator 1,4
1025,TL,Teamleader hört,5
1026,UGV-1,eine Person gesichtet ist auf der Ebene auf der auch die Leckage ist hinter dem ersten Hochofen,2
1027,UGV-1,halb liegend,2
1028,TL,verstanden,2
1029,TL,UGV-1 von Teamleader Leiter,4
1030,TL,UGV-1 von Teamleiter,4
1031,TL,Nicht gerade,6
1032,TL,UGV-2 von Teamleiter,4
1033,UGV-2,UGV-2 hört,5
1034,TL,Für Sie kurze Lageinformation es gab einen Unglücksfall in dem länglichen Graphecs Gebäude Luftbildaufnahmen sagen dass es unstabil und unsicher für Personen ist,2
1035,TL,Unsere Aufgabe erstellen einer Karte des Gebäudes,2
1036,UGV-2,Erstellen einer Lage einer Karte des länglichen Gebäudes verstanden,2
1037,TL,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,1
1038,TL,Das ist so korrekt,2
1039,TL,UGV-1 von Teamleiter,4
1040,UAV,Teamleader von UAV operator kommen,4
1041,TL,Teamleader,5
1042,UAV,Ja die 3D Karte ist in Arbeit Dauer für das Modell circa halbe Stunde,2
1043,UAV,in der Ar- in Arbeit,6
1044,UAV,komme wieder wenn Aufgabe beendet,2
1045,TL,Das ist verstanden,7
1046,TL,UGV-1 von Teamleiter,4
1047,UGV-1,Hier ist UGV-1,5
1048,TL,Frage Standort,3
1049,UGV-2,Teamleiter von UGV-2,4
1050,TL,Teamleiter,5
1051,UGV-2,Ich hab mal ein Foto gemacht,2
1052,UGV-2,das ist die Wand meines Erachtens in nördlicher Feuerlöscheinrichtung und Lagerteile an den Wänden der Regalen,2
1053,TL,Bis jetzt ist das Foto noch nicht angekommen,2
1054,TL,haben Sie auf Teilen geklickt?,3
1055,TL,UGV-1 von Teamleiter,4
1056,UGV-1,Hier ist UGV-1,5
1057,TL,Frage Ihr Standort immer noch mittig in der Halle oder inzwischen weiter in Richtung Westen,3
1058,UGV-1,Ja ist mittig in der Halle,2
1059,UGV-1,Ich habe hier eine Erkenntniss hier ist ein Feuerlöscher fehlt,2
